formatted_date;temperature_2m_min; temperature_2m_max
16/12/1951;291,1276587;297,2975979
17/12/1951;289,7261111;297,6989485
18/12/1951;289,8558571;298,1016386
19/12/1951;291,127888;297,8081356
20/12/1951;289,7517954;299,1298166
21/12/1951;290,9922198;298,2409801
22/12/1951;290,7079795;297,1588471
23/12/1951;290,6065958;298,0352604
24/12/1951;290,831028;297,0624052
25/12/1951;290,4819942;296,8843561
26/12/1951;290,8264535;297,1498572
27/12/1951;290,1489657;296,7625599
28/12/1951;289,9644349;297,3396812
29/12/1951;290,6249022;297,4187834
30/12/1951;290,4270155;297,4399585
31/12/1951;290,8896722;298,2891599
1/01/1952;290,9892876;298,1863105
2/01/1952;290,6630224;297,0491928
3/01/1952;290,748303;296,7017468
4/01/1952;289,1947117;297,6150975
5/01/1952;289,6994028;297,0146418
6/01/1952;290,9912984;296,2827605
7/01/1952;290,6856855;296,3771589
